1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
Row Labels,Afghanistan,"Africa, regional",Albania,Algeria,"America, regional",Angola,Anguilla,Antigua & Barbuda,Arab Countries,Argentina,Armenia,"Asia, regional",Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bhutan,"Bilateral, unspecified",Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Central African Rep.,"Central Asia, regional",Chad,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Islands,Costa Rica,Cote D'Ivoire,Croatia,Cuba,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,"Europe, regional","Far East Asia, regional",Fiji,Gabon,Gambia,Georgia,Ghana,GLOBAL,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Ireland,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.",Kosovo,Kuwait,Kyrgyz Republic,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Marshall Islands,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of","Middle East, regional",Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,"N. & C. America, regional",Namibia,Nauru,Nepal,Nicaragua,Niger,Nigeria,Niue,"North of Sahara, regional","Oceania, regional",Oman,Pakistan,Palau,Palestinian Adm. Areas,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Romania,Russia,Rwanda,Samoa,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Solomon Islands,Somalia,"South & Central Asia, regional",South Africa,"South America, regional","South Asia, regional","South of Sahara, regional",Sri Lanka,St. Helena,St. Kitts & Nevis,St. Lucia,St.Vincent & Grenadines,Sts Ex-Yugo. Unspec.,Sudan,Suriname,Swaziland,Syria,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis & Futuna,"West Indies, regional",Yemen,Zambia,Zimbabwe,Grand Total
African Development Bank (AFDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Development Fund (AFDF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andean Development Corporation (CAF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab Bank for Economic Development in Africa (BADEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab Fund for Economic & Social Development (AFESD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ASDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Fund (ASDF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,26434601.19,4243160.672,,,,,,,,7008.904506,,16984550.49,,,,2109509.017,,,,,1185120.214,180202949.8,,,,,,,,2637896.295,,,,,,474283.9433,4764130.492,46615.87711,,,,177319.6658,,,,,,,,,3274493.888,,,,277920.8098,,1812597.141,1522438.975,,,,,,,,,,,,458161.0209,,6790926.085,29850832.44,194222.0854,3561990.231,,,,97699.37013,,277920.8098,634041.8936,176196.6881,,,,2618854.372,,,,,,,,277920.8098,1114808.219,220197.897,,348927.6167,,,,20802.65729,305189.1531,7377.794217,,160841.8088,,,,277920.8098,82885.82913,1180.447075,,4160530.299,571379.5442,,,,,,9154362.968,,3259194.135,229505.512,,,18676975,,10884.68852,3566456.681,,,,,2408599.843,,,,,36.06265813,,120277875.5,,205415.3206,375768.8056,82707.28651,,505.3789038,2878791.897,,,,,,1939573.834,,,58632.87998,,322187.5751,3105594.14,31374074.42,,,1044884.051,7008.904506,,52454.39048,,410341.9251,,,,,,1500916.693,,7355752.2,,,14755.58843,,,506678661
Austria,2462434.939,9220286.972,6918898.836,111629.7421,2860059.582,22910.42327,,,,339212.9232,1416304.121,626487.6477,529072.8897,,,482355.4419,,6031203.629,,88969.58734,119353.9604,116597622.4,163602.6645,26649495.05,,1991086.24,,1382090.249,385251.8438,28392.21248,282033.9981,85580.41188,5402270.904,2994372.102,40255.3418,440368.086,6737318.667,850348.1495,,133131611.3,31037.23621,,218661.6058,3338077.36,5898770.716,69356.57073,,,20916.39682,227056.687,1511442.934,350023.4581,11455.21164,11455.21164,4819910.653,23772399.76,,,,,1386237.941,643426.4595,,,,5435623.458,26546.50602,,,9248880.859,31374.59524,2168161.572,644462.9296,5193139.093,555479.129,,,,83665.58729,233272.8598,1299017.47,,19019.07814,16173867.06,,1096654.729,573400.1371,,139527.1247,,8132528.424,104581.9841,2496519.314,234362.7942,1344.497136,80011.17548,,29564.31216,,,10458.19841,,870116.7573,,8231.615119,2852185.905,1218606.272,535713.7726,,188555.4887,7226027.787,11455.21164,3587612.256,,,1442244.506,6533557.442,38893.9287,872073.083,,301825.8877,411580.7559,,10022398.3,,2965220.156,10458.19841,727301.8352,45262.63328,898217.1833,494480.5826,,,,142198.4347,,11455.21164,,515936.7066,9733796.471,,137193.5853,,114552.1164,,591806.9987,1371.935853,572445.7225,10278842.86,102952.5359,,,,,2795531.951,389066.3546,,,397411.5397,101977.4737,743405.6896,854232.1136,,559469.5553,,,,609409.3786,28899314.39,41832.79365,,8901307.296,6995018.104,,,237818.0833,,229958.4,901485.3664,,,22910.42327,,461384.238,541318676.7
